Address,City,State,ZIP,Price,Bedrooms,Bathrooms,Square Feet,Lot Size,Year Built,Property Type,MLS#,Days on Market,HOA Fees,Annual Taxes,Description
"1234 Sunset Boulevard",Los Angeles,CA,90028,1250000,4,3.5,2800,7200,2018,Single Family,LA5892341,15,0,14500,"Stunning modern home in prime LA location. Open floor plan with chef's kitchen, hardwood floors throughout. Master suite with spa-like bathroom. Beautifully landscaped yard with outdoor entertaining area."
"5678 Ocean Avenue",Santa Monica,CA,90405,2850000,5,4,3600,8500,2020,Single Family,SM9876543,8,450,28000,"Luxurious coastal living at its finest. Steps from the beach, this architectural masterpiece features floor-to-ceiling windows, gourmet kitchen, and rooftop deck with ocean views."
"910 Park Place",Beverly Hills,CA,90210,5750000,6,6.5,6200,15000,2019,Single Family,BH1234567,22,850,62000,"Exquisite estate in prestigious Beverly Hills. Smart home technology, theater room, wine cellar, infinity pool, and guest house. Unparalleled luxury and privacy."
"234 Main Street",Pasadena,CA,91101,875000,3,2,1850,5500,2005,Single Family,PA4567890,45,0,9800,"Charming craftsman home with original details. Updated kitchen and baths, hardwood floors, cozy fireplace. Excellent Pasadena schools and walkable neighborhood."
"567 Lakeview Drive",Glendale,CA,91205,725000,3,2.5,2100,6000,2010,Townhouse,GL7891234,12,325,7200,"Modern townhouse in desirable Glendale community. Open concept living, two-car garage, private patio. Low-maintenance living with resort-style amenities."
"890 Highland Avenue",Hollywood,CA,90028,950000,4,3,2400,4800,2015,Single Family,HW2345678,30,0,11200,"Contemporary Hollywood Hills home with city views. Sleek design, high-end finishes, outdoor kitchen. Perfect for entertaining and LA lifestyle."
"123 Wilshire Boulevard",Santa Monica,CA,90401,1650000,3,3,2200,0,2017,Condo,SM5678901,5,950,15800,"Luxury high-rise condo with panoramic ocean views. Concierge service, fitness center, pool. Walk to restaurants and beach. Resort-style living."
"456 Rodeo Drive",Beverly Hills,CA,90212,8500000,7,8,8500,22000,2021,Single Family,BH9012345,60,1200,95000,"Magnificent new construction estate. Cinema, gym, spa, smart home automation throughout. Separate guest house and pool house. Trophy property."
"789 Venice Boulevard",Venice,CA,90291,1450000,4,3,2600,5200,2012,Single Family,VE3456789,18,0,13500,"Venice beach bungalow with modern updates. Bright and airy, chef's kitchen, outdoor shower. Walk to Abbot Kinney and beach. True Venice living."
"321 Canyon Road",Malibu,CA,90265,4250000,5,5.5,4800,12000,2016,Single Family,MB6789012,25,750,42000,"Stunning Malibu retreat with ocean and mountain views. Indoor-outdoor living, infinity pool, outdoor kitchen. Privacy and serenity minutes from beaches."
"654 Broadway",Long Beach,CA,90802,625000,2,2,1400,0,2019,Condo,LB9123456,10,485,6200,"Modern waterfront condo in vibrant downtown Long Beach. Floor-to-ceiling windows, balcony with harbor views, assigned parking. Walk to dining and entertainment."
"987 Sunset Plaza Drive",West Hollywood,CA,90069,2100000,4,4,3200,6800,2018,Single Family,WH2456789,33,0,22000,"Architectural gem in Sunset Plaza. Open floor plan, walls of glass, infinity pool with city views. Minutes from Sunset Strip nightlife."
"147 Pacific Coast Highway",Redondo Beach,CA,90277,1850000,4,3.5,3000,7500,2014,Single Family,RB5789012,7,0,18000,"Coastal contemporary home steps from the beach. Vaulted ceilings, gourmet kitchen, rooftop deck. Enjoy beach living and stunning sunsets."
"258 Orange Grove Avenue",Pasadena,CA,91103,1125000,4,3,2500,8200,1925,Single Family,PA8012345,52,0,12500,"Historic Pasadena estate with original character and modern updates. Hardwood floors, built-ins, formal dining. Mature landscaping and rose gardens."
"369 Foothill Boulevard",La Canada,CA,91011,1675000,5,4,3400,10500,2008,Single Family,LC1345678,20,0,16200,"Family home in top-rated La Canada school district. Spacious floor plan, office, bonus room. Large yard with pool and fruit trees."
"741 Sepulveda Boulevard",Culver City,CA,90230,950000,3,2.5,1950,4500,2016,Townhouse,CC4678901,14,425,9500,"Contemporary townhouse near Sony Studios. Modern kitchen, two-car garage, rooftop deck. Easy access to Westside beaches and downtown."
"852 Silver Lake Boulevard",Los Angeles,CA,90026,1350000,3,2,2200,5800,2011,Single Family,SL7901234,28,0,13000,"Silver Lake hillside home with reservoir views. Mid-century modern design, floor-to-ceiling windows, deck. Vibrant neighborhood with cafes and boutiques."
"963 Abbot Kinney Boulevard",Venice,CA,90291,2750000,4,4,3500,6200,2020,Single Family,VE0234567,11,0,27000,"New construction on iconic Abbot Kinney. Designer finishes throughout, rooftop deck, smart home. Walk to trendy shops and restaurants."
"159 Montana Avenue",Santa Monica,CA,90403,2250000,4,3.5,2900,6500,2017,Single Family,SM3567890,16,0,23000,"Elegant Santa Monica home near Montana Avenue shopping. Open floor plan, high ceilings, chef's kitchen. Backyard oasis with pool and outdoor kitchen."
"357 Olympic Boulevard",Beverly Hills,CA,90211,3850000,5,5,4500,11000,2019,Single Family,BH6890123,42,650,39000,"Modern luxury estate south of Wilshire. Clean lines, walls of glass, pool/spa. Close to Century City and Golden Triangle."
