mls_number,street,city,state,zip,price,bedrooms,bathrooms,sqft_living,sqft_lot,year_built,property_type,status,days_on_market,garage_spaces,latitude,longitude,description
MLS001,123 Oak Street,Seattle,WA,98101,750000,3,2.5,2200,5000,2015,single_family,active,15,2,47.6062,-122.3321,"Beautiful craftsman home with modern updates"
MLS002,456 Pine Avenue,Seattle,WA,98102,925000,4,3,2800,6500,2018,single_family,active,8,2,47.6205,-122.3493,"Stunning new construction with open floor plan"
MLS003,789 Maple Drive,Bellevue,WA,98004,1250000,5,4,3500,8000,2020,single_family,active,22,3,47.6101,-122.2015,"Luxury estate with lake views"
MLS004,321 Elm Court,Redmond,WA,98052,650000,3,2,1800,4500,2010,single_family,active,45,2,47.6740,-122.1215,"Charming home near tech campus"
MLS005,654 Cedar Lane,Kirkland,WA,98033,850000,4,3.5,2500,5500,2016,single_family,active,12,2,47.6815,-122.2087,"Modern home with smart features"
MLS006,987 Birch Way,Sammamish,WA,98074,1100000,5,4.5,3200,10000,2019,single_family,active,5,3,47.6163,-122.0355,"Brand new estate on large lot"
MLS007,147 Spruce Street,Mercer Island,WA,98040,1850000,6,5,4500,12000,2021,single_family,active,30,3,47.5707,-122.2221,"Waterfront luxury home"
MLS008,258 Willow Road,Bothell,WA,98011,575000,3,2,1600,4000,2008,single_family,active,60,2,47.7623,-122.2054,"Affordable family home"
MLS009,369 Aspen Circle,Issaquah,WA,98027,775000,4,2.5,2300,6000,2014,single_family,active,18,2,47.5301,-122.0326,"Mountain views and trails"
MLS010,741 Fir Place,Renton,WA,98055,625000,3,2.5,2000,5000,2012,single_family,active,25,2,47.4829,-122.2171,"Great starter home"
MLS011,852 Alder Street,Tacoma,WA,98402,495000,3,2,1700,4200,2009,single_family,active,35,1,47.2529,-122.4443,"Urban living near downtown"
MLS012,963 Cypress Avenue,Olympia,WA,98501,425000,2,2,1500,3800,2011,townhouse,active,40,1,47.0379,-122.9007,"Low maintenance townhome"
MLS013,159 Hickory Drive,Everett,WA,98201,550000,4,2.5,2100,5200,2013,single_family,active,28,2,47.9790,-122.2021,"Family friendly neighborhood"
MLS014,357 Poplar Lane,Lynnwood,WA,98036,675000,3,3,2400,5800,2017,single_family,active,10,2,47.8209,-122.2651,"Modern kitchen and bathrooms"
MLS015,486 Magnolia Court,Snohomish,WA,98290,725000,4,3,2600,7500,2015,single_family,active,20,2,47.9129,-122.0982,"Country living close to city"
MLS016,597 Dogwood Way,Bellingham,WA,98225,585000,3,2.5,1900,4800,2010,single_family,active,32,2,48.7519,-122.4787,"Pacific Northwest charm"
MLS017,684 Hawthorn Circle,Vancouver,WA,98660,515000,3,2,1850,4600,2012,single_family,active,38,2,45.6387,-122.6615,"No state income tax benefit"
MLS018,795 Sycamore Place,Spokane,WA,99201,385000,3,2,1650,4100,2008,single_family,active,50,2,47.6588,-117.4260,"Eastern Washington value"
MLS019,826 Buckeye Street,Yakima,WA,98901,325000,3,2,1550,3900,2007,single_family,active,55,1,46.6021,-120.5059,"Affordable central WA"
MLS020,937 Beech Avenue,Wenatchee,WA,98801,445000,3,2.5,1800,4500,2014,single_family,active,42,2,47.4235,-120.3103,"River valley beauty"
